clean_text,label
지금 너 스스로 를 죽여 달 라고 애원 하 는 인가 ? 아닙니다 . 죄송 합니다 . 죽 을 거 면 혼자 죽 지 우리 까지 사건 에 휘말리 게 해 ? 진짜 죽여 버리 고 싶 게 . 정말 잘못 했 습니다 . 너 가 선택 해 . 너 가 죽 을래 네 가족 을 죽여줄까 . 죄송 합니다 . 정말 잘못 했 습니다 . 너 에게 는 선택 권 없 어 . 선택 못 한다면 너 네 가족 까지 모조리 죽여 버릴 거 야 . 선택 못 하 겠 습니다 . 번 만 도와 주 세요 . 그냥 다 죽여 버려야 겠 군 . 의 없 지 ? 제발 도와 주 세요 .,0
길동 경찰서 . 9 시 40 분 마트 에 폭발물 을 설치 거 다 . 네 ? 똑바로 어 번 만 더 얘기 . 장난 전화 지 마시 죠 . 9 시 40 분 마트 에 폭발물 터지 면 다 죽 는 거 야 . 장난 전화 는 업무 방해죄 에 해당 됩니다 . 판단 은 너 에게 달려 있 다 . 길동 경찰서 에 폭발물 터지 면 꽤 나 재미있 겠 지 . 선생 님 진정 하 세요 . 난 이야기 했 어 . 경고 했 다는 말 야 .,0
너 되게 귀여운 거 알 지 ? 나 보다 작 은 남자 는 첨 봤 어 . 그만 해 . 니 놀리 는 거 재미없 어 . 지영 아 너 가 키 160 지 ? 재 는 160 돼 는 거 네 ? 너 군대 가 고 좋 겠 다 . 니 나 작 은 데 보태 준 거 있 냐 ? 난쟁이 장가가 고 하 던데 . 너 희망 을 가져 봐 더 이상 하 지 마 라 . 키 크 는 수술 있 대잖아 ? 니 네 엄마 는 그거 해 주 디 ? 나람 해 줬 어 . 키로 어찌 살 아 . 제발 그만 괴롭히 라고 !,3
어 예 ? ? 너 말 야 너 . 이리 오 라고 무슨 일 . 너 옷 좋 아 보인다 ? 얘 돈 좀 있 나 봐 아니 에요 . 돈 없 어요 뒤져서 나오 면 넌 죽 는다 오늘 피시방 콜 ? 콜 . 마지막 기회 다 . 있 는 거 다 내놔 정말 없 어요,1
요 혹시 날 너무 뜨겁 잖아요 ? 저희 회사 선크림 파 는데 번 손등 에 발라 보 실래요 ? 아 진짜 요 ? 그래도 선크림 필요 알아보 던 중 인데 번 발라 볼게요 ! 번 발라 보 세요 . 진짜 성분 좋 고 다 좋 아요 . 음 . 성분 좋 다고 하 셔서 좋 은 거 같 기 는 한데 제 피부 에 맞 지 않 나 봐요 . 피부 가 따끔거리 네요 . 이번 에 진짜 열심히 연구 만든 건데 피부 가 많이 예민 하 신가 봐요 . 네 많이 예민 해요 . 많이 파 시 고 안녕히 계세요 . 아니 저기요 돈 내 요 ? 네 ? 발라보 는 돈 내 야 하 나요 ? 이거 한테 팔 아요 ? 당신 바른 거 를 ? 아니 먼저 발라 보 시 라고 하 셨잖아요 . 먼저 권유 해 놓 고 사 라고 강매 하 는 거 갈취 인 거 몰라요 ? 내 가 사 된다고 말 적 있 어 ? 그것 모르 고 바른 탓 하나 ? 빨리 사 당신 바른 거 당신 사 야지 진짜 어 가 없 어서 다른 사람 한텐 갈취 하 지 마세요 . 화딱지 나 네,1
나 이틀 뒤 에 가 나다 음식점 예약 좀 해 줘 . 저녁 7 시 . 가나다 음식점 요 . ? 응 . 남자 친구 부모 님 한테 인사 드리 려는데 가 예약 좀 힘들 어 ? 그러니까 수진 씨 가 좀 해 줘 . . 팀장 님 . 월 말 프로젝트 정신없 어서 . 죄송 하 지만 . 사회생활 해 본 티 를 너무 내 는 거 아니 야 ? 프로젝트 만 백날 잘 하 면 해 ? 윗 상사 한테 잘 보이 기 해야지 ! 팀 프로젝트 라서 이번 엔 . 말 참 이상 하 게 하 네 ? 이번 엔 ? 내 가 매일 같이 이런 심부름 이나 시킨다는 거 야 ? 야 ? ! 아닙니다 . 제 가 말 실수 했 습니다 . 말씀 하 신 예약 꼭 해 두 겠 습니다 . 이러 면 하 고 욕먹 는 거 야 ! 번 에 네네 알 겠 습니다 하 면 좀 좋 아 ? ! 죄송 합니다 . 알 겠 습니다 .,2
35 번 손님 아이스커피 두 잔 나왔 습니다 아이스커피 ? 네 맛있 게 드세요 저기요 아가씨 나 는 아 아스 시킨 적 없 는데 ? 아 분명 오늘 날 더우 시 다고 아이스 시키 셨 는데요 내 가 랫 어 ? 네 분명히 . 아 그런 기억 없 는데 ? 아가씨 가 잘못 거 아니 야 ? 아니요 . 오늘 손 님 첫 주문 라 확실히 기억 하 고 있 습니다 아가씨 . 유 도리 가 없이 굴 어 그냥 아 제 가 잘못 주문 받 았 습니다 하 면 되 지 ? . 네 ? . 어휴 유 도리 없 어 그냥 마실 게,3
경비 아저씨 내차 에 경고장 붙였 어요 ? 내 가 몇 년 째 사 는데 아직 내 차인 줄 모르 고 이딴 식 으로 경고장 을 붙여 ? 입주민 께서 정해진 주차 자리 가 아닌 통로 에 계속 주차 하 셔서 입주민 항의 가 계속 들어옵니다 . 내 가 항상 대 는 자리 가 없 으니까 그렇 지 . 내 차 이거 거 요 ? 얼마 짜린 줄 알 아 ? 수차례 인터폰 드렸 고 경고장 을 올렸으나 몇일 째 그대로 인지라 아파트 규약 에 맞춰 어쩔 없 었 습니다 그렇 다고 본드 붙이 면 ? 당장 이거 깨끗히 원상 복구 시키 고 세차 해와 그럴 는 없 습니다 . 내 가 낸 관리비 월급 받 는 주제 에 라는 거 야 ? 붙 혔 으면 되 잖아 . 나 지금 가 요 ! 말씀 과하 신 거 아닙니까 ? 딱 기다려요 이름 죠 ? 나 지금 가 면 당신 이제 끝 야,3
이거 할인 된다면서요 확인 해 보 겠 습니다 아까 시 람 은 할인 해 주 던데 네 손 님 은 고객 님 십니다 고객 을 차별 하 는 거 에요 ? 저희 는 등급 제 운영 돼서 그런 겁니다 점장 불러오 세요 손 님 건 점장 님 해결 해 주 시 지 못합니다 그니까 점장 불러와 진정 을 좀 해 보 세요,3
자네 세금 계산서 보내 준 거 메일 수치 가 다르 던데 ? 그게 . 얼마나 해 먹 었 어 ? 괜찮 아 . 다른 업체 다 그래 . 회사 에 는 비밀 해 주 십시오 . 그래그래 . 근데 성의 는 표시 해야지 ? 정도 . 생각 하 시 죠 ? 10 장 . 네 가 많이 해 먹 었 는데 정도 는 되 겠 지 ? 그건 너무 많 습니다 . 김 사장 한테 직접 말 하 는 밖에 없 지 . 건 은 국세청 에 걸리 는 거 알 지 ? 좀 더 기한 을 주 십시오 .,1
