clean_text,label
지금 너 장기간 스스로를 죽여달라 권속 고 애원하는 것인가? 아닙니다. 죄송합니다. 죽을 거면 혼자 현재 죽지 우리까지 사건에 휘말리게 해? 진짜 죽여버리고 싶게. 정말 잘못했습니다. 너가 선택해. 너가 죽을래 네 가족을 죽여줄까. 죄송합니다. 정말 잘못했습니다. 너에게는 선택권이 없어. 선택 못한다면 발탁 너와 마르 네 가족까지 모조리 죽여버릴거야. 선택 종용 못하겠습니다. 한번만 발탁 천재 도와주세요. 그냥 다 죽여버려야겠군. 이의 없지? 제발 도와주세요.,0
길동경찰서입니다. 9시 40분 마트에 폭발물. 설치40분. 네? 똑바로 들어 한번만 더터지면얘기한다. 장난전화에게걸지 마시죠. 9시 할거다 마트진정하세요 폭발물이난 다 죽는거야. 장난전화는 업무방해죄에 해당됩니다. 판단은 너 달려있다. 길동경찰서에도 폭발물 터지면 꽤나 재미있겠지. 선생님 에. 이야기했어. 경고했다는 말이야을,0
너 귀여운거 알지? 나 작은 남자는 첨봤어. 그만해. 니들 놀리는거 재미없어. 지영아 너가 키 160이지? 그럼 재는 도 안돼는거네? 너 군대 가고 좋겠다. 니들이 나 작은데 보태준거 있냐? 난쟁이들도 장가가고하던데. 너도 희망을 가져봐 하지마라. 그 키크 수술도 대잖아? 네 엄마는 그거 안해주디? 해줬어. 저 어찌살아. 제발 그만 괴롭히라고!,3
어이 거기 예?? 너 말이야 너. 이리 오라고 무슨 일. 너 옷 좋아보인다? 얘 돈 좀 봐아니에요 뒤져서 나오면 넌 죽는다 오늘 피시방 ? 콜. 마지막 기회. 있는거 다 내놔정말 없어요,1
저기요 혹시 날이 너무 뜨겁잖아요? 저희 에서 이 선크림 파는데 번 손등에 발라보실래요? 아 진짜요? 그래도 선크림 필요해서 알아보던 중인데 번 발라 볼게요!여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요. 음. 성분 하셔서 좋은거 같기는 한데 제 피부 맞지 않나봐요. 피부가 따끔거리네요. 이번 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요. 네 많이 예민해요. 그럼 많이 파시고 계세요. 아니 저기요 돈 안내요? 네? 보는것도 돈 하나요? 그럼 이거 누구한테 팔아요? 당신이 바른거를? 먼저 발라 보시라고 하셨잖아요. 먼저 해놓고 사라고 강매하는거 갈취인거 몰라요? 내가 안 사도 된다고 말 한 적 있어 그것도 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지 진짜 어이 없어서 다른 사람들한텐 이렇게 하지마세요. 화딱지나네,1
나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시 냄새 로. 가나다 음식점 피리 이요.? 응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 술집 그러니까 수진씨가 좀 해줘. 저.팀장님. 저도 월 말 프로젝트로 정신 조 없어서 눈빛 .죄송하지만. 사회생활 안 해본 티를 너무 내는거 아니야? 근본 프로젝트 년 만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지! 하지만 팀 프로젝트라서 이번엔. 차 각 말 참 이상하게 하네? 대낮 사망 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?! 아닙니다. 제가 말 실수 했습니다 레스토랑 . 말씀하신 예약 꼭 해두겠습니다. 이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 시내 좋아?! 죄송합니다 토대 . 가운데 알겠습니다.,2
35번 손님드세요아이스커피가아이스커피잔나왔습니다 두? 네 맛있게오늘 저기요 아가씨 나는리가아아스 시킨적이 없는데 아 분명 오늘 날이 더우시다고 아이스로 시키셨는데요 내잘못 그랫어? 네분명히. 아그런 기억이 없는데? 아가씨가가안거 아니야? 아니요. 손님이 첫 주문이라 확실히 기억하고?있습니다 아가씨. 왜이렇게 유도 없이 굴어 그냥 아 제 잘못 주문 받았습니다 하면 되지? .네?. 어휴 없어도리 유 그냥 마실게,3
경비거기 내차에 경고장 붙였어요? 내가 여기 없었습니다라째지금사는데 안붙혔으 차인줄 모르고 이딴식으로 경고장을 붙여?수입주민께서 말씀 주차자리가 아닌 통로에 계속 주차하셔서 입주민들 항의가 계속 들어옵니다. 내가 항상 대는 아저씨 자리가 없으니까 그렇지. 내아닙니까 이거 어떻게 할거요? 얼마짜린줄 알아? 차례 인터폰도 드렸고과아직도장을내올렸으나 몇일째 그대로 인지년 아파트규약에 어쩔수 몇 그렇다고 본드로 붙이면 어떻게? 당장 이거 깨끗히 원상복구시키고 세차해와 그럴 수는 가면. 내가맞춰낸 관리비로 월급받는 주제에 뭐라는거야? 가요면 되잖아.나 거기 경고! 정해진이 하신거 차? 딱 기다려요 이름뭐죠? 나 지금 없습니다 당신 이제 끝이야,3
거 할인 된다면서요 확인해보겠습니다 아까 저 시람은 할인 해주던데 네 저 손님은 님이십니다 고객 차별 거에요? 저희는 로 운영돼서 그런겁니다 점장 불러오세요 손님 이건 점장님도 해결해주시지 못합니다 점장 진정을 좀 해보세요,3
자네 세금계산서 보내준 거 메일이랑 수치가 다르던데?그게. 얼마나 해먹었어 괜찮아 다른 업체들도 다 그래. 회사에는 비밀로 . 그래그래. 근데 성의는 표시해야지? 어느정도.생각하시죠? 10장. 네 많이도 해먹었는데 그정도는 되겠지?그건 너무 많습니다.그럼 김사장 직접 말하는 수밖에 없지. 그리고 건은 국세청에도 걸리는거 알지? 좀 더 을 주시오.,1
네 뭐 까요보르 레드 하나. . ! 여기 사장은 없어? 네 사장님 지금 . 뭐 .찾으세요? 지금 내 말 잘들어 여기 에 있는 돈 담아. 네?? 왜 이러세요!! 입닥쳐. 사람 오기전 돈이나 쓸어담어. .살려만 주세요 제발 제대로 안하면 패 빨리빨리 해라 네.여기요.진작 빨리 . 경찰 신고하면 알지?,1
이대리물오늘 받아와 뭘한거야? 창고정리도 하고 바닥도 청소했습니다 이게 한거니? 네 열심히 했습니다 왜 이건 복사 해놨니? 아까 하라고 하셨는데요걸내가? 아까 말했는데안너가 못들었어안귀 ? 아닙니다. 지금 당장이니하겠습니다 도 새로 도대체 이 먹으라고 한거니? 죄송합니다,2
