clean_text,label
"지금 나 한테 제발 죽 으라고 애원 하 는 거 야 ? 아니요 , 죄송 해요 . 네 가 죽 을 거 면 혼자 죽 어 . 우리 를 끌어들이 지 마 . 정말 너 를 죽이 고 싶 은 마음 어 . 진심 으로 사과 할게요 . 네 가 결정 해 . 너 가 죽 고 싶 어 , 아니면 내 가 네 가족 을 죽일까 ? 죄송 해요 . 정말 잘못 했 어요 . 네 가 선택 있 는 게 없 어 . 선택 못 하 면 네 가족 전부 너 내 가 죽일 거 야 . 는 선택 없 어요 . 제발 이번 번 만 도와 줘요 . 다 죽 여야 겠 네 . 반대 하 지 않 지 ? 제발 , 도와 주 세요 .",0
"는 길동 경찰서 . 9 시 40 분 에 마트 에 폭발물 을 설치 하 겠 습니다 . 라고요 ? 잘 어요 , 번 더 말 하 겠 습니다 . 장난 전화 하 지 마세요 . 마트 9 시 40 분 에 폭발물 터지 면 모두 죽 게 됩니다 . 장난 전화 는 업무 방해 에 해당 합니다 . 결정 은 당신 에게 달려 있 습니다 . 길동 경찰서 에 폭발물 터진 다면 꽤 흥미 로울 겁니다 . 아저씨 , 제발 진정 하 세요 . 이미 말씀 드렸 습니다 . 이것 을 경고 받아들여 주 세요 .",0
"너 정말 귀엽 다는 거 알 아 ? 나 보다 키 작 은 남자 는 처음 봤 어 . 그만 해 . 너희 놀리 는 거 재미없 어 . 지영 아 , 너 160 cm 지 ? 걔 는 160 cm 되 는 거 네 ? 군대 가 되 니까 너 운 좋 은 거 야 . 너희 는 나 덜 작 아 보이 게 도와 준 적 있 어 ? 난쟁이 결혼 한대 , 너희 희망 가져야 지 . 그만 좀 해 . 키 크 는 수술 있 다고 었 는데 , 네 엄마 가 그거 해 줬 다며 ? 엄마 가 나 때문 에 해 줬 지 . 키 살 았 겠 어 ? 제발 괴롭히 지 마 !",3
"야 , 너 있 지 ? 응 ? ? 너 한테 하 는 말 야 . 이리 와봐 . 무슨 일 야 ? 옷 멋지 네 . 돈 좀 있 나 보 네 . 아니 , 없 는데 . 난 돈 푼 없 어 . 찾 아 봐서 나오 면 죽 는다 . 오늘 PC 방 갈래 ? 좋 아 . 이번 마지막 기회 야 . 가진 거 다 내놔 . 정말 아무것 없 어 .",1
"실례 합니다 , 날씨 가 정말 덥 지 않 나요 ? 저희 회사 자외선 차단제 를 판매 하 고 있 습니다 . 손등 에 좀 발라 보 시 겠 어요 ? 아 , 정말 요 ? 사실 자외선 차단제 를 찾 고 있 었 는데 , 한번 발라 볼게요 ! 자 , 이거 발라 보 세요 . 성분 정말 좋 고 , 품질 훌륭 해요 . 음 성분 좋 다고 하 셨으니 괜찮 을 같 은데 , 제 피부 에 는 맞 는 같 아요 . 피부 가 조금 따가워 요 . 저희 가 연구 하 고 제작 하 는 데 많 은 노력 을 기울였 거든요 . 아마 피부 가 매우 민감 하 신가 봐요 . 네 , 정말 민감 해요 . , 판매 잘 되 시 길 바랍니다 . 안녕히 계세요 . 잠깐 만 요 , 이거 무료 주 시 는 게 아니 에요 ? 라고요 ? 발라보 기 만 해도 돈 을 내 야 하 나요 ? 이거 한테 파 는 거 예요 ? 이거 발라 본 사람 한테 요 ? 아니요 , 먼저 발라 보 라고 하 셨잖아요 . 먼저 제공 해 놓 고 강제 사 게 하 는 거 , 그게 협박 인 거 모르 세요 ? 제 가 사 지 않 아도 된다고 적 있 나요 ? 그걸 모르 면서 바른 한테 탓 해요 ? 빨리 사세요 . 바르 셨으니 사 야죠 . 솔직히 이거 어 가 없 네요 . 남 한테 협박 하 지 마세요 . 정말 화 나요 .",1
"가나다 식당 에 이틀 뒤 오후 7 시 에 예약 해 줘 . 가나다 식당 ? 응 . 남자 친구 부모 님 을 인사 드리 려고 하 는데 , 예약 잡 기 가 좀 힘들 어 . 수진 아 , 너 가 좀 처리 해 줄래 ? 나 , 팀장 님 ? 나 이번 달 말 프로젝트 하 느라 진짜 바빠 . 미안 . 직장 생활 경험 없 다는 너무 티 내 는 거 아니 야 ? 프로젝트 를 잘 하 는 중요 하 지만 상사 에게 좋 은 인상 을 주 는 얼마나 중요 한데 . 이번 에 는 팀 프로젝트 니까 말투 가 이상 해 . 이번 에 는 ? 매일 너 한테 심부름 시키 는 거 냐고 ? 그게 무슨 말 야 ? ! 아니 , 그런 뜻 아니 야 . 말 좀 꼬였 어 . 네 가 부탁 예약 은 꼭 할게 . 해도 또 혼나 ! 차라리 그냥 네 , 알 겠 습니다 하 는 게 낫 지 않 아 ? ! 미안 해 . 알 겠 습니다 .",2
"주문 번호 35 번 아이스커피 두 잔 준비 되 었 습니다 . 아이스커피 요 ? 네 , 음료 즐기 세요 . 요 , 아가씨 , 전 아이스커피 주문 적 없 는데요 . 사실 오늘 날씨 가 더우 니까 아이스커피 요청 하 셨잖아요 . 제 가 그럴 리 가 있 나요 ? 네 , 분명히 말씀 하 셨 어요 . 전 전혀 기억 나 는데요 . 혹시 착각 하 신 거 아닌가요 ? 아니 에요 , 오늘 첫 주문 라서 확실히 기억 합니다 . 아가씨 , 융통 성 없 으세요 ? 그냥 아 , 죄송 해요 , 주문 을 잘못 받 았 나 봐요 라고 하 면 되 잖아요 . 라고요 ? 휴 , 전혀 융통 성 없 네요 . 그냥 마실 게 요 .",3
"경비원 님 , 제 차 에 경고문 붙였 나요 ? 몇 년 째 살 고 있 는데 , 아직 제 차 를 알아보 지 못하 고 그런 경고문 을 붙이 다니요 ? 주민 지정 된 주차 공간 대신 통로 에 계속 주차 하 는 사람 있 어서 불만 을 제기 하 고 있 어요 . 는 원래 주차 공간 항상 차 있 어서 에 주차 하 는 에요 . 제 차 에 대해 거 죠 ? 제 차 가 얼마 짜린 지 아세요 ? 인터폰 여러 번 눌렀 고 경고문 붙였 는데 며칠 째 이래서 어쩔 없이 아파트 규정 을 따를 밖에 없 었 어요 . 차 에 경고문 을 붙여 놓 은 건가요 ? 이거 치우 고 바로 차 좀 세차 하 세요 . 그럴 없 어요 . 제 가 내 는 관리비 월급 받 으면서 무슨 예요 ? 경고문 을 붙이 지 말 았 어야죠 . 지금 당장 갈 겁니다 ! 좀 심한 아닌가요 ? 잠깐 만 요 . 이름 죠 ? 지금 제 가 가 면 끝장 에요 .",3
"할인 해 준다고 하 셨잖아요 . 확인 해 보 겠 습니다 . 아까 그분 은 할인 을 받 으셨 습니다 . 네 , 고객 님 은 저희 거래처 중 분 십니다 . 고객 을 차별 하 는 겁니까 ? 저희 는 등급 별 시스템 으로 운영 하 고 있 어서 그렇 습니다 . 매장 관리자 좀 불러 주 세요 . 사장 님 , 매장 관리자 를 해결 없 습니다 . 바로 그거 예요 , 매장 관리자 를 데려오 세요 . 진정 해 주 세요 .",3
"당신 보낸 송장 은 이메일 에 적힌 금액 맞 지 않 습니다 . 글쎄요 . .. 당신 얼마나 챙겼 나요 ? 괜찮 아요 . 다른 회사 다 그래요 . 회사 에 는 비밀 해 주 세요 . 네 , 네 . 적어도 성의 는 보여야 하 지 않 나요 ? 정도 는 요 . 그렇 지 않 나요 ? 열 배 요 . 많이 챙기 셨으니 정도 가 적당 해 보이 네요 , 그렇 죠 ? 그건 너무 많 아요 . 그렇 다면 직접 김 부장 님 얘기 밖에 없 네요 . 가 국세청 에 신고 될 있 다는 거 아 시 죠 ? 조금 만 더 시간 을 주 세요 .",1
"네 , 을 드릴까요 ? 말보로 레드 하나 주 세요 . 있 습니다 ! 사장 님 계세요 ? 아니요 , 지금 사장 님 계세요 . 찾 으세요 ? 지금 부터 내 말 잘 어 . 네 주머니 에 있 는 돈 을 전부 가방 에 넣 어 . ? ? 이러 시 는 거 예요 ? ! 닥쳐 . 올 테 니까 얼른 돈 잡 아 . 제발 살려 만 주 세요 . 제대로 하 면 때릴 거 야 , 빨리 해 . 있 습니다 . 처음 부터 빨리 줬 어야지 . 내 가 경찰 부르 면 되 는지 알 지 ?",1
"부장 님 , 오늘 도대체 하 신 거 예요 ? 창고 정리 하 고 바닥 청소 했 어요 . 그게 다 예요 ? 네 , 열심히 했 어요 . 이거 복사 했 어요 ? 먼저 하 라고 말씀 하 셨 어요 . 내 가 ? 내 가 일찍 말 했 는데 , 못 었 어 ? 귀 는 잘 들려 ? 네 , 잘 들려요 . 지금 바로 할게요 . 생수 좀 가져와요 . 이거 마시 라고 그래요 ? 죄송 합니다 .",2
"네 , 네 , 무슨 일 전화 하 셨 나요 ? 제 아이 가 다른 아이 앞 지우개 하나 훔쳤 다고 혼난 건가요 ? 그런 일 은 아닙니다 . 딸 번 아니 라 여러 번 훔친 게 확인 됐 어요 . 경찰 에 신고 하 는 건 너무 심하 다고 생각 해 경고 만 했 습니다 . 작 은 가게 물건 얼마나 큰 가치 가 있 을까요 ? 매번 우리 아이 가 훔친 게 확실 한가요 ? 네 , 목격자 있 고 분명 합니다 . 그만 합시다 . 제 아이 가 집 에 와서 울 었 어요 . 일 에 대한 책임 을 지 셔야 겁니다 . 당신 자식 있 지 않 나요 ? 제 아이 를 끌어들이 지 마세요 . 제 아이 집 에 와서 울 었 지만 , 그냥 넘어갈 없 습니다 . 당신 아이 를 죽일 겁니다 . 제발 그러 지 마세요 . 상황 어렵 습니다 . 단지 교육 차원 말 . 그만 하 세요 . 아 , 당신 아이 가 있 네요 . 아이 를 죽일 테 고 , 당신 아들 죽 은 보 면 , 이유 없이 다른 아이 를 울 게 만드 는 게 결과 를 초래 하 는지 다시 생각 해 보 시 겠 죠 .",0
"형 ! 형 ! 돈 좀 있 어 ? 나 라고 ? 너 말 고 있 냐 , 형 ? 얼마 있 냐 ? 나 , 돈 없 어 . 근데 형 라고 불러 ? 아 , 잘 생겨서 형 라고 부르 는 거 야 . 조금 만 돈 주 면 때릴 게 . 조금 만 줘 . 돈 많 아 보여서 . 진짜 현금 푼 없 어 . 정말 야 . 제발 그냥 보내 줘 . 야 , 지갑 네 주머니 에 있 잖아 ! 지갑 좀 봐도 돼 ? 만약 돈 있 으면 건데 ? 그냥 줘 . 진짜 없 어 , 미안 해 . 진짜 지갑 열 어 보 는 거 다 , 알 겠 냐 ? 말 만 웃기 냐 ? 지갑 에 돈 없 어 , 미안 해 .",1
"김 사원 대리 님 , 이러 세요 ? 이거 오늘 까지 제출 해야 해요 . 도와 주 실 있 나요 ? 응 ? 나 일 많 아 . 조금 만 도와 달 라는 거 예요 . 정도 는 못 해요 ? 도와 드리 고 싶 은데 너무 일 많 아요 . 당신 내 가 얼굴 맞대 고 일 해야 해요 . 그거 감당 있 어요 ? 라고요 ? 감당 있 다면 하 지 마세요 . 아니요 , 제 가 할게요 .",2
"이봐 , 잠깐 네 전화기 좀 빌려 줘 . 돼 . 지난달 에 전화비 가 너무 많이 나와서 엄마 한테 혼났 어 . ? 그냥 입 닥치 고 전화기 내놔 . 내 가 전화기 주 면 또 결제 거 지 ? 응 , 게임 캐 시 다 써서 충전 해야 해 . 아니 , 진짜 돼 . 때릴 거 야 , 아니면 그냥 줄 거 야 ? 또 결제 하 다 걸리 면 전화 뺏길 있 어 . 아이구 , 오늘 말 많 아 ? 빨리 내놔 . 제발 .",1
"잠깐 만 기다려요 , 학생 . 네 ? 를 부르 셨 나요 ? 그게 겠 어요 ? 를 부르 셨 나요 ? 지갑 을 잃어버려서 돈 없 어요 . 돈 좀 있 으세요 ? 아니요 , 현금 없 어요 . 주머니 를 열 어서 확인 해 보 세요 . 그럴 없 어요 . 내 가 결정 할게요 . 내밀 어 봐요 . 돈 은 제 돈 아니 에요 . 내놓 으면 맞 고 싶 어요 ? 정말 돈 은 제 돈 아니 에요 .",1
얼마나 가지 고 왔 어 ? 10 만 원 정도 . 이걸로 새 전화기 를 사 려고 해 ? 이게 내 가 있 는 최선 었 어 . 우리 가진 거 다 고 판 싸우 자 . 부탁 니까 때리 지 마 ! 내일 까지 세 배 를 갖 고 . 그걸 하 라는 거 야 ? 그건 네 가 알 아서 해결 야 . 말 돼 .,1
"이봐 , 네 이마 에 빛 나 고 있 어 . 응 ? 이봐 , 번 만 쳐볼 게 . 퍽 ! 아야 , 그래 ? 아팠 어 ? 빛나 는 줄 알 고 톡 쳤 어 . 가만히 있 어 . 톡톡 이봐 , 톡톡 치 면 열릴까 ? 빛날 뭔가 열려 ? 무슨 소리 야 ? 떨어져 . 귀찮 게 굴 어 ? 우리 는 친구 잖 아 . 퍽퍽퍽 이봐 , 미쳤 어 ? 이봐 , 네 이마 빛나 고 있 어 , 정말 예쁘 다 . 훌쩍 훌쩍 훌쩍 .",3
"나 , 정수기 물통 좀 교체 해 줄래 ? 아니 , 거 야 . 내 가 혼자 물 마시 는 아닌데 항상 나 만 하 잖아 . 나 , 너희 부서 에 남자 직원 은 너 야 . 그렇 지 , 나 는 직원 지 막일 하 는 사람 아니 야 . 그러니까 그것 때문 에 하 겠 다는 말 야 ? 그게 아니 라 항상 내 가 물통 갈고 무거운 거 옮기 는 게 불 공평 하 다는 거 야 . 남자 직원 라서 제일 힘세 고 아마 우리 여자 직원 보다 많이 먹 을 거 아니 야 ? 난 정수기 잘 써 . 내 물 직접 가져와 . 하 , 그런 말 하 고 팀 잘 어울릴 있 어 ? 나 를 따돌리 겠 다는 협박 야 ?",2
"당신 은 민수 라는 이름 의 남학생 인가요 ? 네 , 에 요 . 그러 세요 ? 선생 님 께 무슨 일 있 나요 ? 별일 아니 에요 , 그냥 선생 님 의 신장 하나 를 가져가 고 싶 어서요 . 라고요 ? 농담 하 지 마세요 . 이건 너무 심하 지 않 나요 ? 아 , 아이 라서 상황 을 잘 못 읽 는 같 네요 . 제 가 농담 인지 아닌지 알 있 게 사진 을 보내 줄게요 . ? 이러 세요 ? 바로 신고 거 예요 . 신고 해 보 세요 . 에 신고 해야 하 는지 아 나요 ? 에게 원 하 는 게 있 다면 최선 을 다 할게요 . 제발 선생 님 께 해치 지 마세요 . 내 가 말 하 는 가져오 기 만 하 면 모든 게 깔끔 하 게 끝날 거 예요 . 그렇 게 할게요 . 지금 바로 하 겠 습니다 .",0
"너 지난번 에 친구 지갑 돈 훔쳤 잖아 . 지금 와서 얘기 를 꺼내 ? 야 , 모두 한테 말 하 기 전 에 돈 좀 줘 . 내 가 너 한테 줘야 돼 ? 내 가 진짜 다 말 거 야 돈 주인 만 아니 라 모두 한테 . 얼마나 원해 ? 그냥 10 만 원 만 줘 . 야 , 나 지금 10 만 원 없 어 . 정말 다 말 거 야 ? 내일 까지 줄게 .",1
"으 , 너무 역겨워 . 썩 은 달걀 냄새 는 서 나 는 거 야 ? 분명 사람 나 는 냄새 일 리 가 없 잖아 . 라고 했 어 ? 응 ? 녀석 건방지 게 굴 고 있 네 . 야 , 야 , 그만 좀 둬 . 걔 는 아마 그냥 죄책감 느끼 는 거 야 . 너 싸우 고 싶 어 ? 어 , 모욕 당해서 기분 나쁜 거 야 ? 나 한테 이래 , 자식 아 ? 너희 가 정말 싫 어서 그래 .",3
"제발 그만 따라다니 세요 . 제발 부탁 에요 . 나 를 보 고 싶 으면 직접 찾아와야 해요 . 우린 이미 헤어졌 잖아요 . 이건 스토킹 에요 . 아직 헤어진 게 아니 에요 . 일방 적 으로 당신 말 거 죠 . 제발 좀 내버려둘 없 어요 ? 언제 내 가 널 괴롭힌 적 있 나요 ? 내 가 모든 하 는 이유 는 사랑 예요 . 또 우리 집 비밀 번호 를 알아냈 어요 ? 네 가 들어가 는 봤 어요 . 네 남자 친구 가 정도 못 지켜봐 ? 집 에 다른 남자 가 숨겨져 있 니 ? 제발 그만 하 세요 . 아니 에요 , 그건 사실 아니 에요 . 우리 가 헤어진 건 네 가 편집증 적 인 의심 때문 에요 . ? 정신병 라니 ? 말 다 했 어 , 년 아 ? 네 가 바람피우 지 못하 게 네 다리 하나 부러뜨려 야 겠 다 . 이리 .",0
"이봐 , 너 거지 야 ! 네 집 판자촌 아니 야 ? . 판자촌 야 ? 알 잖아 , 허물어져 가 는 집 . 귀신 나올 같 은 , 완전 허름 집 같 은 거 ? 야 , 귀신 나오 는 집 저렇 게 무너질 정도 허술 하 진 않 아 . 지붕 에 구멍 났 을 거 야 . 아마 는 담요 둘 둘 싸매 고 있 을 거 야 . 든 얼 어 죽 진 않 았 나 봐 . 춥 다면서 그런 쓸데없 는 소리 나 하 고 있 어 ? 너 참 거지 다 , 친구 . 손난로 하 나 줄까 ? 추위 에 도움 될 거 야 . 헤헤 . , 네 배려 좀 봐라 . 대단 하 네 . 나 예전 에 썼 던 게 있 어서 오늘 밤 까진 버틸 있 어 . 내일 내 거 줄 테 니까 꼭 받 아 . 내 가 다 줘 버리 면 내 가 손 을 녹이 지 ? 네 가 뭔가 자존심 라도 있 는지 얼굴 빨갛 네 . 래도 넌 결국 지독 거 지 란 말 야 .",3
